Hub name,Hub lat,Hub long
SIOB_Samakhiali,23.29749168,70.34313685
BEF_Kunkuri,22.73890642,83.94564764
PUL_RampuraJS,30.26280671,75.23003917
KYP_Mokhra,28.81948842,76.39592197
KMDL_Khambhaliya,22.30839228,69.60023069
PAN_JugalKishoreJi,24.72346901,80.19203979
HTG_Hatgamaria,22.26961491,85.74198784
PVR_Mangalwedha,17.51709352,75.45158751
RMU_Milak,28.62285772,79.16931504
SADP_Devadurga,16.42180262,76.94810228
CCU_Rajarhat,22.57856227,88.53266281
BAKA_Khesar,25.00926886,86.8831847
MJZ_Kaisarganj,27.26325924,81.55518633
BGS_Garhpura,25.61343716,86.17803685
JRPD_Reamal,21.34749581,84.67373735
MZA_Morna,29.47164683,77.93638383
BSC_Debai,28.20224097,78.25651379
KVNJ_BAYAD,23.2240488,73.20391604
SGRA_Sangaria,29.80006046,74.46538516
RGPM_Kataram,18.61967888,79.94480228
BPTP_Manpur,20.37524112,80.72663891
AMRO_Amrohaa,28.91368696,78.45778814
SLI_Tasgaon,17.04670871,74.61186086
MZP_Mirzapur,26.38512116,88.15993705
NED_Loha,18.94984011,77.12442674
BRN_Azadnagar,30.39139353,75.54914074
KLT_Kulithalai,10.93450667,78.42865258
NGN_Nandgaon,20.31654143,74.67041638
JHJ_Bahadurgarh,28.61480295,76.65607113
MTC_Sardhana,29.14622735,77.60957693
STR_Koregaon,17.68931698,74.17353878
PVR_PandharpurRD_TH,17.68886303,75.35542835
VNS_Kachhawa,25.27055767,82.72021442
NNP_Nanpara_TH,27.8758093,81.49894536
KAI_Kadi,23.29368439,72.34998198
SUK_Sukma,18.38955794,81.66069565
BAKA_Katoria,24.74188656,86.71428492
BWI_JalalpurRoad,26.30788869,82.71616741
NWS_NawanShahr,31.13652386,76.10916256
GRD_Bharkata,24.20829982,86.04308135
MOJ_Mohana,19.44359938,84.2617901
CHP_Chiplun,17.53353521,73.52002412
TWB_Talwandi,29.98502681,75.08411068
AAM_Melattur,11.08183314,76.26782509
KJN_Kannauj,27.0211618,79.90282777
KHS_Sarangarh,21.586945,83.0972
BJP_Beejpur,24.00875505,82.81659624
PUI_Belouri,25.71020858,87.51639978
KRBA_Korba,22.20399103,82.83208533
GHQ_Ramanujganj_E,23.80956483,83.69035139
DPR_Afzalgarh,29.38857039,78.67781115
MWD_Mhaswad,17.64334692,74.78381021
BRK_Payagpur,27.40285507,81.80501402
UDP_Tidi,24.34478697,73.6591396
SGR_Sangrur,30.23484278,75.83560132
MZA_Meerapur,29.29327229,77.72982815
KKDI_Avadaiyarkoil,10.04134552,79.23066478
BGP_Bhagalpur_TH,25.21365251,86.95521182
NSK_Igatpuri,19.69412552,73.55168292
PNDMI_Tittakudi,11.39402786,79.12133581
TPPI_Tipparthi,16.97584125,79.46019265
SNSI_Shirdi,19.71007158,74.48223612
GHQ_Bhawnathpur,24.38394059,83.56996542
SRE_Behat,30.17558084,77.6117254
RMT_Ramgarh_TH,23.61810897,85.51841453
DBD_DeobandRD,29.69724737,77.68403341
DMO_Damoh,23.8040283,79.45316037
MQ_Asesham,10.64158615,79.45527011
MNF_Manda_TH,25.1742426,82.20364844
PVR_Sangola,17.45529177,75.17606142
PNBE_Naubatpur,25.49915045,84.95997089
KNRI_Tapkara,22.50537196,83.95027959
NMA_NirmaliRD,26.30302277,86.5738247
KPRR_Mathili,18.55418788,82.20636652
PNBE_Khusrupur,25.48448343,85.41466351
BRH_Baikunthpur_E,23.28566346,82.55408951
LTHR_Barwadih,23.84930737,84.11547523
RMU_Suar,28.9791318,78.94261305
RNRR_Ranebennur,14.61144808,75.63426535
DD_Daund,18.43548552,74.56573434
WGC_Stationghanpur,17.84922841,79.37647369
PLNI_Palani,10.45905749,77.51428687
PVR_Malshiras,17.87136697,74.84230603
SSA_Sirsa_E,29.51807398,75.03227369
IQB_Iqbalpur,29.91463562,77.8378002
SHHPR_Shahapur,19.46170803,73.33365698
BMKI_Sankarsaraiya,26.59235589,84.87210269
IXR_Ratu,23.42153936,85.22275074
RMU_Bilaspur,28.89194919,79.25744868
KNE_Pawakhali,26.32336808,87.95645362
MZP_RaniBagh,25.11976297,83.03244539
MUR_Mankapur,27.05982923,82.21519957
PSN_Kankari,27.72988277,81.16682553
JPP_Jhanjharpur,26.27061795,86.27775124
RAA_Naraingarh,30.48487736,77.12802252
BHW_Barharwa,24.85553031,87.77910037
MGZ_Nichlaul,27.42291674,83.69300924
APT_Mummidivaram,16.64288142,82.10708902
BEAS_Beas,31.5504437,75.26650003
DHN_Chirkunda,23.75718006,86.78719086
SAN_Sandila,27.07246657,80.47957979
DEO_RampurKarkhana,26.5777101,83.83371266
HNL_Hingoli,19.71859673,77.1517519
CTA_Bharamasagara,14.36744954,76.19250172
KOP_Kale,16.7419178,74.03111389
AKC_AkolaMIDC,20.68507107,77.05032984
HLYL_Haliya,15.33309138,74.76552605
